Source,Target,Type,Weight,book,Id
Addam-Marbrand,Jaime-Lannister,Undirected,3,1,Addam-Marbrand
Addam-Marbrand,Tywin-Lannister,Undirected,6,1,Addam-Marbrand
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,5,1,Aegon-I-Targaryen
Aegon-I-Targaryen,Eddard-Stark,Undirected,4,1,Aegon-I-Targaryen
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,4,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,9,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,5,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,34,1,Aemon-Targaryen-(Maester-Aemon)
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,1,Aemon-Targaryen-(Maester-Aemon)
Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Eddard-Stark,Undirected,10,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Gerold-Hightower,Undirected,3,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1,Aerys-II-Targaryen
Aerys-II-Targaryen,Robert-Baratheon,Undirected,12,1,Aerys-II-Targaryen
Aggo,Daenerys-Targaryen,Undirected,11,1,Aggo
Aggo,Drogo,Undirected,6,1,Aggo
Aggo,Jhogo,Undirected,4,1,Aggo
Aggo,Jorah-Mormont,Undirected,5,1,Aggo
Aggo,Quaro,Undirected,3,1,Aggo
Aggo,Rakharo,Undirected,7,1,Aggo
Albett,Halder,Undirected,3,1,Albett
Albett,Jon-Snow,Undirected,5,1,Albett
Albett,Rast,Undirected,3,1,Albett
Alliser-Thorne,Bowen-Marsh,Undirected,3,1,Alliser-Thorne
Alliser-Thorne,Grenn,Undirected,3,1,Alliser-Thorne
Alliser-Thorne,Halder,Undirected,4,1,Alliser-Thorne
Alliser-Thorne,Jeor-Mormont,Undirected,10,1,Alliser-Thorne
Alliser-Thorne,Jon-Snow,Undirected,32,1,Alliser-Thorne
Alliser-Thorne,Pypar,Undirected,4,1,Alliser-Thorne
Alliser-Thorne,Rast,Undirected,5,1,Alliser-Thorne
Alliser-Thorne,Samwell-Tarly,Undirected,8,1,Alliser-Thorne
Alliser-Thorne,Tyrion-Lannister,Undirected,7,1,Alliser-Thorne
Alyn,Eddard-Stark,Undirected,11,1,Alyn
Alyn,Harwin,Undirected,6,1,Alyn
Alyn,Jory-Cassel,Undirected,8,1,Alyn
